,ensembl_gene_id,p_val,avg_logFC,pct.1(treatment),pct.2(control),p_val_adj,mgi_symbol,description
75,ENSMUSG00000003974,5.45E-13,-17.54639933,0,1,1.09E-09,Grm3,"glutamate receptor, metabotropic 3 [Source:MGI Symbol;Acc:MGI:1351340]"
183,ENSMUSG00000017667,5.45E-13,-75.76880596,0,1,1.09E-09,Zfp334,zinc finger protein 334 [Source:MGI Symbol;Acc:MGI:2388656]
428,ENSMUSG00000022787,5.45E-13,-4.291234283,0,1,1.09E-09,Wdr53,WD repeat domain 53 [Source:MGI Symbol;Acc:MGI:1916230]
1015,ENSMUSG00000034009,5.45E-13,-12.99589463,0,1,1.09E-09,Rxfp1,relaxin/insulin-like family peptide receptor 1 [Source:MGI Symbol;Acc:MGI:2682211]
1042,ENSMUSG00000034898,5.45E-13,-14.92628036,0,1,1.09E-09,Filip1,filamin A interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917848]
1179,ENSMUSG00000038781,5.45E-13,-19.17557648,0,1,1.09E-09,Stap2,signal transducing adaptor family member 2 [Source:MGI Symbol;Acc:MGI:2147039]
1459,ENSMUSG00000053552,5.45E-13,-5.641962769,0,1,1.09E-09,Ebf4,early B cell factor 4 [Source:MGI Symbol;Acc:MGI:2385972]
1511,ENSMUSG00000057286,5.45E-13,-2.616681225,0,1,1.09E-09,St6galnac2,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:107553]"
1525,ENSMUSG00000058248,5.45E-13,-2.31006101,0,1,1.09E-09,Kcnh1,"potassium voltage-gated channel, subfamily H (eag-related), member 1 [Source:MGI Symbol;Acc:MGI:1341721]"
1590,ENSMUSG00000062593,5.45E-13,-7.089111552,0,1,1.09E-09,Gm49339,"predicted gene, 49339 [Source:MGI Symbol;Acc:MGI:6121530]"
1654,ENSMUSG00000069919,5.45E-13,-23.21019725,0,1,1.09E-09,Hba-a1,"hemoglobin alpha, adult chain 1 [Source:MGI Symbol;Acc:MGI:96015]"
1664,ENSMUSG00000070866,5.45E-13,-2.215824402,0,1,1.09E-09,Zfp804a,zinc finger protein 804A [Source:MGI Symbol;Acc:MGI:2442949]
1673,ENSMUSG00000071324,5.45E-13,-4.367327312,0,1,1.09E-09,Armc2,armadillo repeat containing 2 [Source:MGI Symbol;Acc:MGI:1916449]
1679,ENSMUSG00000071654,5.45E-13,-37.28081768,0,1,1.09E-09,Uqcc3,ubiquinol-cytochrome c reductase complex assembly factor 3 [Source:MGI Symbol;Acc:MGI:2147553]
1709,ENSMUSG00000075410,5.45E-13,-2.685658859,0,1,1.09E-09,Prcd,photoreceptor disc component [Source:MGI Symbol;Acc:MGI:3649529]
265,ENSMUSG00000020486,3.76E-12,-11.36978066,0.023,1,7.51E-09,Septin4,septin 4 [Source:MGI Symbol;Acc:MGI:1270156]
1301,ENSMUSG00000043372,3.76E-12,-14.78462284,0.023,1,7.51E-09,Hexim2,hexamethylene bis-acetamide inducible 2 [Source:MGI Symbol;Acc:MGI:1918309]
1312,ENSMUSG00000044067,3.76E-12,-13.66628355,0.023,1,7.51E-09,Gpr22,G protein-coupled receptor 22 [Source:MGI Symbol;Acc:MGI:1920260]
1447,ENSMUSG00000052920,3.76E-12,-78.39600873,0.023,1,7.51E-09,Prkg1,"protein kinase, cGMP-dependent, type I [Source:MGI Symbol;Acc:MGI:108174]"
1668,ENSMUSG00000070953,3.76E-12,-17.60625601,0.023,1,7.51E-09,Rabepk,Rab9 effector protein with kelch motifs [Source:MGI Symbol;Acc:MGI:2139530]
1814,ENSMUSG00000103761,4.70E-12,-7.033723429,0.023,1,9.40E-09,Gm37859,"predicted gene, 37859 [Source:MGI Symbol;Acc:MGI:5611087]"
1389,ENSMUSG00000049097,5.87E-12,-4.521448837,0.023,1,1.17E-08,Ankrd34a,ankyrin repeat domain 34A [Source:MGI Symbol;Acc:MGI:3617846]
1379,ENSMUSG00000048489,7.33E-12,-5.073593808,0.023,1,1.47E-08,Depp1,DEPP1 autophagy regulator [Source:MGI Symbol;Acc:MGI:1918730]
1334,ENSMUSG00000045382,9.14E-12,-4.816021154,0.023,1,1.83E-08,Cxcr4,chemokine (C-X-C motif) receptor 4 [Source:MGI Symbol;Acc:MGI:109563]
1622,ENSMUSG00000066571,1.24E-11,-2.869992089,0,0.9,2.49E-08,4931406P16Rik,RIKEN cDNA 4931406P16 gene [Source:MGI Symbol;Acc:MGI:1924311]
1030,ENSMUSG00000034518,1.76E-11,-5.471259103,0.023,1,3.52E-08,Hmgxb4,HMG box domain containing 4 [Source:MGI Symbol;Acc:MGI:1918073]
1639,ENSMUSG00000068696,1.76E-11,-4.863999357,0.023,1,3.52E-08,Gpr88,G-protein coupled receptor 88 [Source:MGI Symbol;Acc:MGI:1927653]
663,ENSMUSG00000027375,1.86E-11,-8.648606168,0.045,1,3.72E-08,Mal,"myelin and lymphocyte protein, T cell differentiation protein [Source:MGI Symbol;Acc:MGI:892970]"
12,ENSMUSG00000000805,2.72E-11,-27.32144375,0.023,1,5.43E-08,Car4,carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]
224,ENSMUSG00000019966,2.72E-11,-154.5353611,0.023,1,5.43E-08,Kitl,kit ligand [Source:MGI Symbol;Acc:MGI:96974]
606,ENSMUSG00000026399,2.72E-11,-2.44477727,0.023,1,5.43E-08,Cd55,"CD55 molecule, decay accelerating factor for complement [Source:MGI Symbol;Acc:MGI:104850]"
1111,ENSMUSG00000037169,2.72E-11,-111.7354144,0.023,1,5.43E-08,Mycn,"v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived [Source:MGI Symbol;Acc:MGI:97357]"
899,ENSMUSG00000031488,2.83E-11,-12.19684898,0.045,1,5.65E-08,Rab11fip1,RAB11 family interacting protein 1 (class I) [Source:MGI Symbol;Acc:MGI:1923017]
22,ENSMUSG00000001123,3.37E-11,63.00465786,0.023,1,6.73E-08,Lgals9,"lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
100,ENSMUSG00000005803,3.37E-11,105.8218762,0.023,1,6.73E-08,Sqor,sulfide quinone oxidoreductase [Source:MGI Symbol;Acc:MGI:1929899]
234,ENSMUSG00000020096,3.37E-11,1.928668521,0.023,1,6.73E-08,Tbata,"thymus, brain and testes associated [Source:MGI Symbol;Acc:MGI:1923820]"
362,ENSMUSG00000021959,3.37E-11,65.30246445,0.023,1,6.73E-08,Lats2,large tumor suppressor 2 [Source:MGI Symbol;Acc:MGI:1354386]
443,ENSMUSG00000023043,3.37E-11,165.9835409,0.023,1,6.73E-08,Krt18,keratin 18 [Source:MGI Symbol;Acc:MGI:96692]
491,ENSMUSG00000024312,3.37E-11,31.72455018,0.023,1,6.73E-08,Wdr46,WD repeat domain 46 [Source:MGI Symbol;Acc:MGI:1931871]
496,ENSMUSG00000024397,3.37E-11,-0.379536306,0.023,1,6.73E-08,Aif1,allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098]
510,ENSMUSG00000024620,3.37E-11,215.2537446,0.023,1,6.73E-08,Pdgfrb,"platelet derived growth factor receptor, beta polypeptide [Source:MGI Symbol;Acc:MGI:97531]"
635,ENSMUSG00000026887,3.37E-11,8.290308189,0.023,1,6.73E-08,Mrrf,mitochondrial ribosome recycling factor [Source:MGI Symbol;Acc:MGI:1915121]
641,ENSMUSG00000026974,3.37E-11,Inf,0.023,1,6.73E-08,Zmynd19,"zinc finger, MYND domain containing 19 [Source:MGI Symbol;Acc:MGI:1914437]"
643,ENSMUSG00000027004,3.37E-11,183.3407234,0.023,1,6.73E-08,Frzb,frizzled-related protein [Source:MGI Symbol;Acc:MGI:892032]
874,ENSMUSG00000031099,3.37E-11,125.484929,0.023,1,6.73E-08,Smarca1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1935127]"
887,ENSMUSG00000031298,3.37E-11,131.3794509,0.023,1,6.73E-08,Adgrg2,adhesion G protein-coupled receptor G2 [Source:MGI Symbol;Acc:MGI:2446854]
910,ENSMUSG00000031740,3.37E-11,-1.138347894,0.023,1,6.73E-08,Mmp2,matrix metallopeptidase 2 [Source:MGI Symbol;Acc:MGI:97009]
959,ENSMUSG00000032425,3.37E-11,121.8408507,0.023,1,6.73E-08,Zfp949,zinc finger protein 949 [Source:MGI Symbol;Acc:MGI:1918890]
1002,ENSMUSG00000033538,3.37E-11,256.6252343,0.023,1,6.73E-08,Casp4,"caspase 4, apoptosis-related cysteine peptidase [Source:MGI Symbol;Acc:MGI:107700]"
1052,ENSMUSG00000035352,3.37E-11,89.03732941,0.023,1,6.73E-08,Ccl12,chemokine (C-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:108224]
1057,ENSMUSG00000035547,3.37E-11,414.4226516,0.023,1,6.73E-08,Capn5,calpain 5 [Source:MGI Symbol;Acc:MGI:1100859]
1096,ENSMUSG00000036661,3.37E-11,469.9561605,0.023,1,6.73E-08,Dennd3,DENN/MADD domain containing 3 [Source:MGI Symbol;Acc:MGI:2146009]
1101,ENSMUSG00000036896,3.37E-11,190.8905614,0.023,1,6.73E-08,C1qc,"complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]"
1104,ENSMUSG00000036913,3.37E-11,360.2030387,0.023,1,6.73E-08,Trim67,tripartite motif-containing 67 [Source:MGI Symbol;Acc:MGI:3045323]
1139,ENSMUSG00000037709,3.37E-11,172.4980475,0.023,1,6.73E-08,Fam13a,"family with sequence similarity 13, member A [Source:MGI Symbol;Acc:MGI:1889842]"
1158,ENSMUSG00000038225,3.37E-11,202.2664285,0.023,1,6.73E-08,Primpol,primase and polymerase (DNA-directed) [Source:MGI Symbol;Acc:MGI:3603756]
1255,ENSMUSG00000041134,3.37E-11,89.18432442,0.023,1,6.73E-08,Cyyr1,cysteine and tyrosine-rich protein 1 [Source:MGI Symbol;Acc:MGI:2152187]
1295,ENSMUSG00000042766,3.37E-11,2.353579648,0.023,1,6.73E-08,Trim46,tripartite motif-containing 46 [Source:MGI Symbol;Acc:MGI:2673000]
1298,ENSMUSG00000042851,3.37E-11,178.2238729,0.023,1,6.73E-08,Zc3h6,zinc finger CCCH type containing 6 [Source:MGI Symbol;Acc:MGI:1926001]
1306,ENSMUSG00000043635,3.37E-11,8.968182312,0.023,1,6.73E-08,Adamts3,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3 [Source:MGI Symbol;Acc:MGI:3045353]"
1309,ENSMUSG00000043943,3.37E-11,4.487223182,0.023,1,6.73E-08,Naalad2,N-acetylated alpha-linked acidic dipeptidase 2 [Source:MGI Symbol;Acc:MGI:1919810]
1382,ENSMUSG00000048612,3.37E-11,127.4356812,0.023,1,6.73E-08,Myof,myoferlin [Source:MGI Symbol;Acc:MGI:1919192]
1386,ENSMUSG00000048905,3.37E-11,110.775757,0.023,1,6.73E-08,Bnip5,BCL2 interacting protein 5 [Source:MGI Symbol;Acc:MGI:1925441]
1406,ENSMUSG00000050234,3.37E-11,2.254913698,0.023,1,6.73E-08,Gja4,"gap junction protein, alpha 4 [Source:MGI Symbol;Acc:MGI:95715]"
1420,ENSMUSG00000051048,3.37E-11,8.900561365,0.023,1,6.73E-08,P4ha3,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]"
1530,ENSMUSG00000058806,3.37E-11,269.4796924,0.023,1,6.73E-08,Col13a1,"collagen, type XIII, alpha 1 [Source:MGI Symbol;Acc:MGI:1277201]"
1550,ENSMUSG00000060152,3.37E-11,78.23863214,0.023,1,6.73E-08,Pop5,"processing of precursor 5, ribonuclease P/MRP family (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2151221]"
1557,ENSMUSG00000060600,3.37E-11,127.1400956,0.023,1,6.73E-08,Eno3,"enolase 3, beta muscle [Source:MGI Symbol;Acc:MGI:95395]"
1691,ENSMUSG00000074264,3.37E-11,138.236743,0.023,1,6.73E-08,Amy1,"amylase 1, salivary [Source:MGI Symbol;Acc:MGI:88019]"
1757,ENSMUSG00000090394,3.37E-11,122.1791207,0.023,1,6.73E-08,4930523C07Rik,RIKEN cDNA 4930523C07 gene [Source:MGI Symbol;Acc:MGI:1914897]
1767,ENSMUSG00000093668,3.37E-11,352.378877,0.023,1,6.73E-08,Pou5f2,"POU domain class 5, transcription factor 2 [Source:MGI Symbol;Acc:MGI:1922757]"
1802,ENSMUSG00000102649,3.37E-11,204.4351723,0.023,1,6.73E-08,Gm38021,"predicted gene, 38021 [Source:MGI Symbol;Acc:MGI:5611249]"
1807,ENSMUSG00000103129,3.37E-11,-0.950601368,0.023,1,6.73E-08,Gm37393,"predicted gene, 37393 [Source:MGI Symbol;Acc:MGI:5610621]"
1824,ENSMUSG00000104339,3.37E-11,245.7613069,0.023,1,6.73E-08,C130089K02Rik,RIKEN cDNA C130089K02 gene [Source:MGI Symbol;Acc:MGI:2444420]
339,ENSMUSG00000021696,6.45E-11,-12.7232828,0.045,1,1.29E-07,Elovl7,"ELOVL family member 7, elongation of long chain fatty acids (yeast) [Source:MGI Symbol;Acc:MGI:1921809]"
988,ENSMUSG00000033032,7.91E-11,-35.54094264,0.045,1,1.58E-07,Afap1l1,actin filament associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2147199]
1020,ENSMUSG00000034209,1.06E-10,-10.01591602,0.068,1,2.12E-07,Rasl10a,"RAS-like, family 10, member A [Source:MGI Symbol;Acc:MGI:1922918]"
1417,ENSMUSG00000050914,1.06E-10,-3.746426546,0.068,1,2.12E-07,Ankrd37,ankyrin repeat domain 37 [Source:MGI Symbol;Acc:MGI:3603344]
1189,ENSMUSG00000039047,1.19E-10,-135.3689028,0.045,1,2.37E-07,Pigk,"phosphatidylinositol glycan anchor biosynthesis, class K [Source:MGI Symbol;Acc:MGI:1913863]"
