"","ensembl_gene_id","p_val","avg_logFC","pct.1(treatment)","pct.2(control)","p_val_adj","mgi_symbol","description"
"1","ENSMUSG00000000056",0.000419772330835014,-6.96411589958668,0.043,0.857,0.839544661670028,"Narf","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"2","ENSMUSG00000000078",0.0261468331173027,Inf,0.391,1,1,"Klf6","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"3","ENSMUSG00000000127",0.00108915079562722,440.668393774749,0.217,0.143,1,"Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"4","ENSMUSG00000000184",0.0253882444056819,Inf,0.304,1,1,"Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"5","ENSMUSG00000000194",0.325751046396933,-15.7678542876933,0.391,0.429,1,"Gpr107","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"6","ENSMUSG00000000439",0.46693510124108,-4.00951751006701,0,0.571,1,"Mkrn2","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
"7","ENSMUSG00000000579",0.875070673308348,-6.20582979688434,0.348,0.714,1,"Dynlt1c","dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]"
"8","ENSMUSG00000000594",0.0106480586212906,14.0587941299231,0.174,0.857,1,"Gm2a","GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
"9","ENSMUSG00000000632",0.000566573600142417,-117.327789854191,0.087,0.143,1,"Sez6","seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]"
"10","ENSMUSG00000000693",0.039764836303764,-37.9775753383843,0.087,0.286,1,"Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]"
"11","ENSMUSG00000000759",0.021556815679941,4.30338695705589,0.087,0.286,1,"Tubgcp3","tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
"12","ENSMUSG00000000805",5.08053499906744e-05,58.5950629224642,0.087,1,0.101610699981349,"Car4","carbonic anhydrase 4 [Source:MGI Symbol;Acc:MGI:1096574]"
"13","ENSMUSG00000000838",0.0536415168384664,-139.093854315238,0.174,0.286,1,"Fmr1","fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]"
"14","ENSMUSG00000000861",0.0006606997025629,162.550551810147,0.174,0.143,1,"Bcl11a","B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]"
"15","ENSMUSG00000000884",4.26305412821047e-06,45.5341219707885,0.043,1,0.00852610825642094,"Gnb1l","guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
"16","ENSMUSG00000000957",0.558229509191989,-193.350692575529,0.304,0.714,1,"Mmp14","matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]"
"17","ENSMUSG00000001025",0.00540424774919766,174.204340150412,0.087,0.857,1,"S100a6","S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]"
"18","ENSMUSG00000001039",0.000163481525493446,0.595535903574781,0,0.143,0.326963050986893,"B9d1","B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]"
"19","ENSMUSG00000001052",0.0141166989824618,115.445028755843,0.13,0.857,1,"Sec24b","Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]"
"20","ENSMUSG00000001056",0.000894429408015424,367.888184340901,0.217,0.143,1,"Nhp2","NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"
"21","ENSMUSG00000001123",0.00217779399428606,98.3845505197826,0.174,1,1,"Lgals9","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
"22","ENSMUSG00000001134",4.26305412821047e-06,11.0798080032825,0.043,1,0.00852610825642094,"Uxt","ubiquitously expressed prefoldin like chaperone [Source:MGI Symbol;Acc:MGI:1277988]"
"23","ENSMUSG00000001211",0.000454699785309753,251.069858771689,0.13,0.143,0.909399570619507,"Agpat3","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]"
"24","ENSMUSG00000001280",0.0597890563478844,-248.528567087436,0.217,0.286,1,"Sp1","trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372]"
"25","ENSMUSG00000001313",0.00249622059573218,266.516513914867,0.087,0.857,1,"Rnd2","Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]"
"26","ENSMUSG00000001403",0.000114915939251981,232.232811456573,0.13,1,0.229831878503962,"Ube2c","ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]"
"27","ENSMUSG00000001418",0.00715554313327795,295.965116795572,0.391,1,1,"Glmp","glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]"
"28","ENSMUSG00000001436",0.00407130470910282,205.699752135114,0.261,1,1,"Slc19a1","solute carrier family 19 (folate transporter), member 1 [Source:MGI Symbol;Acc:MGI:103182]"
"29","ENSMUSG00000001473",5.08053499906744e-05,76.8809162724099,0.087,1,0.101610699981349,"Tubb6","tubulin, beta 6 class V [Source:MGI Symbol;Acc:MGI:1915201]"
"30","ENSMUSG00000001482",0.815186088242473,-123.36639431643,0.13,0.571,1,"Def8","differentially expressed in FDCP 8 [Source:MGI Symbol;Acc:MGI:1346331]"
"31","ENSMUSG00000001506",0.577255967973951,Inf,0.478,1,1,"Col1a1","collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]"
"32","ENSMUSG00000001518",6.56802449209372e-05,86.5967858895241,0.087,1,0.131360489841874,"Itfg2","integrin alpha FG-GAP repeat containing 2 [Source:MGI Symbol;Acc:MGI:1915450]"
"33","ENSMUSG00000001521",0.0236608860915251,56.4311773933951,0.522,1,1,"Tulp3","tubby-like protein 3 [Source:MGI Symbol;Acc:MGI:1329045]"
"34","ENSMUSG00000001755",5.52967658226503e-05,389.994759013537,0.13,1,0.110593531645301,"Coasy","Coenzyme A synthase [Source:MGI Symbol;Acc:MGI:1918993]"
"35","ENSMUSG00000001827",3.14500332094411e-06,-2.08312689265924,0.043,1,0.00629000664188821,"Folr1","folate receptor 1 (adult) [Source:MGI Symbol;Acc:MGI:95568]"
"36","ENSMUSG00000001930",0.0342887614833078,-312.074978062423,0.087,0.286,1,"Vwf","Von Willebrand factor [Source:MGI Symbol;Acc:MGI:98941]"
"37","ENSMUSG00000001946",0.0016689368026614,-54.960215999673,0.261,1,1,"Esam","endothelial cell-specific adhesion molecule [Source:MGI Symbol;Acc:MGI:1916774]"
"38","ENSMUSG00000001962",0.438290240547855,143.339407539108,0.217,0.714,1,"Fam50a","family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]"
"39","ENSMUSG00000001986",0.0165821088540847,Inf,0.13,0.857,1,"Gria3","glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]"
"40","ENSMUSG00000001995",0.030610171235884,77.2823846579454,0.13,0.286,1,"Sipa1l2","signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970]"
"41","ENSMUSG00000002010",3.4245900298278e-05,25.35135869207,0.174,1,0.0684918005965561,"Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]"
"42","ENSMUSG00000002028",0.115999035832523,40.4444153674659,0.261,0.429,1,"Kmt2a","lysine (K)-specific methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96995]"
"43","ENSMUSG00000002233",0.0747756412772476,175.018108622598,0.348,1,1,"Rhoc","ras homolog family member C [Source:MGI Symbol;Acc:MGI:106028]"
"44","ENSMUSG00000002265",0.0885315675412944,357.041386492605,0.304,0.857,1,"Peg3","paternally expressed 3 [Source:MGI Symbol;Acc:MGI:104748]"
"45","ENSMUSG00000002297",0.233305948309534,0.698800693265152,0.174,0.429,1,"Dbf4","DBF4 zinc finger [Source:MGI Symbol;Acc:MGI:1351328]"
"46","ENSMUSG00000002308",7.07955183042128e-05,2.8737698353494,0.13,1,0.141591036608426,"Cd320","CD320 antigen [Source:MGI Symbol;Acc:MGI:1860083]"
"47","ENSMUSG00000002326",0.000359602524274089,21.7693706672107,0.087,0.143,0.719205048548177,"Gmpr2","guanosine monophosphate reductase 2 [Source:MGI Symbol;Acc:MGI:1917903]"
"48","ENSMUSG00000002428",0.532416638837981,-244.016340632708,0.174,0.429,1,"Hltf","helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]"
"49","ENSMUSG00000002455",4.26305412821047e-06,385.036736227177,0.043,1,0.00852610825642094,"Prpf6","pre-mRNA splicing factor 6 [Source:MGI Symbol;Acc:MGI:1922946]"
"50","ENSMUSG00000002458",0.682505406875058,597.409082013687,0.13,0.571,1,"Rgs19","regulator of G-protein signaling 19 [Source:MGI Symbol;Acc:MGI:1915153]"
"51","ENSMUSG00000002546",0.00131635393254988,1.91773143744845,0.043,0.857,1,"Golga2","golgi autoantigen, golgin subfamily a, 2 [Source:MGI Symbol;Acc:MGI:2139395]"
"52","ENSMUSG00000002803",4.26305412821047e-06,38.7852259941164,0.043,1,0.00852610825642094,"Btbd6","BTB (POZ) domain containing 6 [Source:MGI Symbol;Acc:MGI:3026623]"
"53","ENSMUSG00000002900",0.693722992140741,-272.900643698667,0.739,0.714,1,"Lamb1","laminin B1 [Source:MGI Symbol;Acc:MGI:96743]"
"54","ENSMUSG00000002997",0.0226685904781216,79.8677816264247,0.13,0.857,1,"Prkar2b","protein kinase, cAMP dependent regulatory, type II beta [Source:MGI Symbol;Acc:MGI:97760]"
"55","ENSMUSG00000003038",0.127008624531275,62.8136160174583,0.739,1,1,"Hmgn2","high mobility group nucleosomal binding domain 2 [Source:MGI Symbol;Acc:MGI:96136]"
"56","ENSMUSG00000003119",0.349806938362298,211.565432073442,0.13,0.429,1,"Cdk12","cyclin-dependent kinase 12 [Source:MGI Symbol;Acc:MGI:1098802]"
"57","ENSMUSG00000003134",0.000163481525493446,-124.574268123078,0,0.143,0.326963050986893,"Tbc1d8","TBC1 domain family, member 8 [Source:MGI Symbol;Acc:MGI:1927225]"
"58","ENSMUSG00000003226",0.0165821088540847,133.234892578015,0.13,0.857,1,"Ranbp2","RAN binding protein 2 [Source:MGI Symbol;Acc:MGI:894323]"
"59","ENSMUSG00000003316",0.0220986272221811,429.247589858755,0.304,1,1,"Glg1","golgi apparatus protein 1 [Source:MGI Symbol;Acc:MGI:104967]"
"60","ENSMUSG00000003360",0.000565425316458617,387.886199189896,0.13,1,1,"Ddx23","DEAD (Asp-Glu-Ala-Asp) box polypeptide 23 [Source:MGI Symbol;Acc:MGI:1921601]"
"61","ENSMUSG00000003436",1.2183152937176e-07,-5.25006216794679,0,1,0.00024366305874352,"Dll3","delta like canonical Notch ligand 3 [Source:MGI Symbol;Acc:MGI:1096877]"
"62","ENSMUSG00000003437",0.0736809134567376,229.819962937032,0.261,0.857,1,"Paf1","Paf1, RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:1923988]"
"63","ENSMUSG00000003438",0.0141166989824618,-15.7433090041847,0.13,0.857,1,"Timm50","translocase of inner mitochondrial membrane 50 [Source:MGI Symbol;Acc:MGI:1913775]"
"64","ENSMUSG00000003452",3.91623237269882e-05,126.792940925427,0.087,1,0.0783246474539764,"Bicd1","BICD cargo adaptor 1 [Source:MGI Symbol;Acc:MGI:1101760]"
"65","ENSMUSG00000003541",0.0197751679818647,158.555765696423,0.261,1,1,"Ier3","immediate early response 3 [Source:MGI Symbol;Acc:MGI:104814]"
"66","ENSMUSG00000003604",3.2139493937658e-06,-8.71652074143188,0.087,1,0.0064278987875316,"Aven","apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]"
"67","ENSMUSG00000003617",0.282768258688249,Inf,0.435,1,1,"Cp","ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]"
"68","ENSMUSG00000003644",0.954739184977966,-4.42544297110533,0.174,0.571,1,"Rps6ka1","ribosomal protein S6 kinase polypeptide 1 [Source:MGI Symbol;Acc:MGI:104558]"
"69","ENSMUSG00000003662",6.56802449209372e-05,346.855650817543,0.087,1,0.131360489841874,"Ciao1","cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998]"
"70","ENSMUSG00000003752",0.0274834679280254,-260.955345840676,0.043,0.286,1,"Itpkc","inositol 1,4,5-trisphosphate 3-kinase C [Source:MGI Symbol;Acc:MGI:2442554]"
"71","ENSMUSG00000003778",0.000166754533362421,-94.2635516080588,0.217,1,0.333509066724841,"Brd8","bromodomain containing 8 [Source:MGI Symbol;Acc:MGI:1925906]"
"72","ENSMUSG00000003808",0.377867317385727,63.0933175294841,0.043,0.429,1,"Farsa","phenylalanyl-tRNA synthetase, alpha subunit [Source:MGI Symbol;Acc:MGI:1913840]"
"73","ENSMUSG00000003812",9.03438819169838e-05,-15.1713404673798,0.13,1,0.180687763833968,"Dnase2a","deoxyribonuclease II alpha [Source:MGI Symbol;Acc:MGI:1329019]"
"74","ENSMUSG00000003934",0.0194178973158629,73.1079445756099,0.13,0.286,1,"Efnb3","ephrin B3 [Source:MGI Symbol;Acc:MGI:109196]"
"75","ENSMUSG00000003974",1.0112826933069e-05,27.6590062116625,0.087,1,0.020225653866138,"Grm3","glutamate receptor, metabotropic 3 [Source:MGI Symbol;Acc:MGI:1351340]"
"76","ENSMUSG00000004100",0.000163481525493446,-1.62028609702479,0,0.857,0.326963050986893,"Ppan","peter pan homolog [Source:MGI Symbol;Acc:MGI:2178445]"
"77","ENSMUSG00000004127",0.377867317385727,42.852224487648,0.043,0.429,1,"Trmt10a","tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421]"
