"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TS6","TS9","TS25","TS22","TS23"
"1","ENSMUSG00000000001",1064.7479280184,0.441043314702533,0.320881353855717,1.37447473778999,0.16929434768553,0.476104124216125,1077.35412882743,1071.61136620405,647.293180240914,1070.87803852596,1456.60292629365
"2","ENSMUSG00000000028",61.5202927822912,-0.132143836531703,0.425885848709937,-0.310279942223917,0.756348082773001,0.898300959540011,57.4138563951919,66.8886158358832,66.9283938210694,62.2857634652854,54.084834394026
"3","ENSMUSG00000000031",174.365357188944,-0.0759691581241288,1.12065299006204,-0.0677900820305875,0.945952738993928,0.982300778553007,46.1562374941739,103.119949413653,384.360204515284,234.937528860287,103.252865661322
"4","ENSMUSG00000000037",16.5320518626465,0.190402742736333,0.776084414869335,0.24533767086199,0.806194985713815,NA,20.2637140218324,19.5091796187993,7.6489592938365,13.1127923084811,22.1256140702834
"5","ENSMUSG00000000049",2.50911817690538,-0.288557976305193,1.86969321289662,-0.154334397918761,0.877346076601946,NA,1.1257618901018,4.1805384897427,2.86835973518869,4.37093076949372,0
"6","ENSMUSG00000000056",2339.61392594641,-0.0886441683397838,0.272182309584116,-0.325679389212431,0.744666939792448,0.892323908677788,2263.90716099473,2024.77414186538,2899.91169227576,2208.4127712867,2301.06386330947
"7","ENSMUSG00000000058",2485.87021838428,0.428673936418566,0.295255280217634,1.45187559762721,0.146536198824112,0.45011955704022,2155.83401954495,2738.25271078147,1658.86804685079,2690.30788862338,3186.0884261208
"8","ENSMUSG00000000078",2549.42234463975,0.65684084945138,0.358257116101904,1.83343420110753,0.066738025352361,0.345365872011873,2247.0207326432,2525.04524780459,1444.2191266675,2184.37265205448,4346.453964029
"9","ENSMUSG00000000085",794.564956244808,-0.441928488071213,0.320120488423681,-1.38050672809894,0.167430679529766,0.473821357574812,934.382368784496,606.178081012691,1122.96283632637,657.825080808804,651.476414291677
"10","ENSMUSG00000000088",14329.9663093173,0.031176729961444,0.292637414308821,0.106537060666286,0.915156252555592,0.972199070513308,12651.3121209641,18369.2861239294,11598.6906491913,15930.9499221122,13099.5927303894
"11","ENSMUSG00000000093",129.411223211516,-0.448253066801827,0.385915795635291,-1.16153075844931,0.245426122107958,0.547600662031545,126.085331691402,118.44859054271,189.311742522453,123.478794238197,89.7316570628158
"12","ENSMUSG00000000120",25.079520223844,0.563292026913546,0.649909906125893,0.866723251336981,0.386093662517923,0.665230233185804,28.1440472525451,13.9351282991423,21.0346380580504,42.6165750025637,19.6672125069185
"13","ENSMUSG00000000126",136.203679055036,-0.3421954508967,0.365366139885489,-0.936582276080509,0.348973472480793,0.638590188913522,138.468712482522,118.44859054271,188.355622610724,120.200596161077,115.544873478146
"14","ENSMUSG00000000127",572.255757875459,0.374837839729992,0.307464601659265,1.21912518614221,0.222796681848844,0.529066338206702,535.862659688458,611.752132332348,388.662744118067,591.168386574025,733.832866664398
"15","ENSMUSG00000000131",881.159830812309,-0.40843781808199,0.28646846211548,-1.42576887893978,0.153935066881823,0.459236276441777,852.201750807065,865.371467376739,1213.79422794068,733.223636582571,741.208071354492
"16","ENSMUSG00000000134",443.354272039821,-0.373284083374515,0.286212597439819,-1.30421961406854,0.192158714173389,0.499462421072791,445.801708480314,464.03977236144,553.115368935552,410.867492332409,342.947018089392
"17","ENSMUSG00000000142",63.9559697695823,-0.293057262347006,0.454326171706892,-0.645037157436908,0.518903106516695,0.764771382340364,67.5457134061081,52.9534875367409,86.0507920556606,67.7494269271526,45.4804289222491
